0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/classie.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/jquery.nicescroll.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/SidebarNav.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/admin/assets/js/utils.js HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/scripts.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/SimpleChart.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/js/bootstrap.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/images/1.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:58 +0530] "GET /E-Society/images/4.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/images/3.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/images/2.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/admin/assets/images/search-icon.png HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/admin/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/admin/assets/css/AjaxLoader.gif HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/images/slider2.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/images/slider3.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:59 +0530] "GET /E-Society/images/slider1.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:02 +0530] "GET /E-Society/admin-view-all-members.jsp HTTP/1.1" 200 30549
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:02 +0530] "GET /E-Society/js/classie.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:02 +0530] "GET /E-Society/js/scripts.js HTTP/1.1" 404 782
